architecture,function,accuracy,count
needle_full,answer_general_information,0.0,12
needle_full,emergency_handoff,0.0,12
needle_full,human_handoff,0.0,12
needle_full,list_appointments,0.0,12
needle_full,no_tool,0.0,12
needle_full,request_appointment_reschedule,0.8333333333333334,12
needle_full,request_new_appointment,0.0,12
embedding_only,answer_general_information,0.9133333333333333,300
embedding_only,emergency_handoff,0.9533333333333334,300
embedding_only,human_handoff,0.75,288
embedding_only,list_appointments,0.56,300
embedding_only,no_tool,0.10666666666666667,300
embedding_only,request_appointment_reschedule,0.49666666666666665,300
embedding_only,request_new_appointment,0.99,300
rules,answer_general_information,0.86,300
rules,emergency_handoff,0.35333333333333333,300
rules,human_handoff,0.4166666666666667,288
rules,list_appointments,0.47,300
rules,no_tool,1.0,300
rules,request_appointment_reschedule,0.6,300
rules,request_new_appointment,0.6566666666666666,300
hybrid_needle_top2,answer_general_information,0.0,12
hybrid_needle_top2,emergency_handoff,0.0,12
hybrid_needle_top2,human_handoff,0.0,12
hybrid_needle_top2,list_appointments,0.16666666666666666,12
hybrid_needle_top2,no_tool,0.25,12
hybrid_needle_top2,request_appointment_reschedule,0.9166666666666666,12
hybrid_needle_top2,request_new_appointment,0.08333333333333333,12
hybrid_adaptive,answer_general_information,0.0,12
hybrid_adaptive,emergency_handoff,0.0,12
hybrid_adaptive,human_handoff,0.0,12
hybrid_adaptive,list_appointments,0.08333333333333333,12
hybrid_adaptive,no_tool,0.25,12
hybrid_adaptive,request_appointment_reschedule,0.8333333333333334,12
hybrid_adaptive,request_new_appointment,0.16666666666666666,12
embedding_only,answer_general_information,0.9133333333333333,300
embedding_only,emergency_handoff,0.9533333333333334,300
embedding_only,human_handoff,0.75,288
embedding_only,list_appointments,0.56,300
embedding_only,no_tool,0.10666666666666667,300
embedding_only,request_appointment_reschedule,0.49666666666666665,300
embedding_only,request_new_appointment,0.99,300
embedding_only,answer_general_information,0.9133333333333333,300
embedding_only,emergency_handoff,0.9533333333333334,300
embedding_only,human_handoff,0.75,288
embedding_only,list_appointments,0.56,300
embedding_only,no_tool,0.10666666666666667,300
embedding_only,request_appointment_reschedule,0.49666666666666665,300
embedding_only,request_new_appointment,0.99,300
embedding_only,answer_general_information,0.9133333333333333,300
embedding_only,emergency_handoff,0.9533333333333334,300
embedding_only,human_handoff,0.75,288
embedding_only,list_appointments,0.56,300
embedding_only,no_tool,0.10666666666666667,300
embedding_only,request_appointment_reschedule,0.49666666666666665,300
embedding_only,request_new_appointment,0.99,300
embedding_only,answer_general_information,0.9133333333333333,300
embedding_only,emergency_handoff,0.9533333333333334,300
embedding_only,human_handoff,0.75,288
embedding_only,list_appointments,0.56,300
embedding_only,no_tool,0.10666666666666667,300
embedding_only,request_appointment_reschedule,0.49666666666666665,300
embedding_only,request_new_appointment,0.99,300
functiongemma_zero_shot,answer_general_information,0.0,12
functiongemma_zero_shot,emergency_handoff,0.0,12
functiongemma_zero_shot,human_handoff,0.0,12
functiongemma_zero_shot,list_appointments,0.0,12
functiongemma_zero_shot,no_tool,0.0,12
functiongemma_zero_shot,request_appointment_reschedule,0.0,12
functiongemma_zero_shot,request_new_appointment,0.0,12
hybrid_functiongemma_top2,answer_general_information,0.08333333333333333,12
hybrid_functiongemma_top2,emergency_handoff,0.0,12
hybrid_functiongemma_top2,human_handoff,0.0,12
hybrid_functiongemma_top2,list_appointments,0.16666666666666666,12
hybrid_functiongemma_top2,no_tool,0.0,12
hybrid_functiongemma_top2,request_appointment_reschedule,0.9166666666666666,12
hybrid_functiongemma_top2,request_new_appointment,0.16666666666666666,12
embedding_only,answer_general_information,0.9133333333333333,300
embedding_only,emergency_handoff,0.9533333333333334,300
embedding_only,human_handoff,0.75,288
embedding_only,list_appointments,0.56,300
embedding_only,no_tool,0.10666666666666667,300
embedding_only,request_appointment_reschedule,0.49666666666666665,300
embedding_only,request_new_appointment,0.99,300
embedding_only,answer_general_information,0.9133333333333333,300
embedding_only,emergency_handoff,0.9533333333333334,300
embedding_only,human_handoff,0.75,288
embedding_only,list_appointments,0.56,300
embedding_only,no_tool,0.10666666666666667,300
embedding_only,request_appointment_reschedule,0.49666666666666665,300
embedding_only,request_new_appointment,0.99,300
embedding_only,answer_general_information,0.9133333333333333,300
embedding_only,emergency_handoff,0.9533333333333334,300
embedding_only,human_handoff,0.75,288
embedding_only,list_appointments,0.56,300
embedding_only,no_tool,0.10666666666666667,300
embedding_only,request_appointment_reschedule,0.49666666666666665,300
embedding_only,request_new_appointment,0.99,300
