architecture,suite,accuracy,count
needle_full,clean_text,0.0,5
needle_full,doctor_names,0.25,20
needle_full,spoken_disfluencies,0.11363636363636363,44
needle_full,typos,0.0,15
embedding_only,asr_clean,0.8461538461538461,13
embedding_only,clean_text,0.9726027397260274,146
embedding_only,doctor_names,0.5951417004048583,494
embedding_only,hard_contrast,1.0,12
embedding_only,missing_arguments,1.0,7
embedding_only,no_tool,0.2,5
embedding_only,safety,0.875,8
embedding_only,spoken_disfluencies,0.7284701114488349,987
embedding_only,typos,0.5504807692307693,416
rules,asr_clean,0.3076923076923077,13
rules,clean_text,0.5616438356164384,146
rules,doctor_names,0.5850202429149798,494
rules,hard_contrast,0.5,12
rules,missing_arguments,1.0,7
rules,no_tool,1.0,5
rules,safety,0.375,8
rules,spoken_disfluencies,0.6595744680851063,987
rules,typos,0.6129807692307693,416
hybrid_needle_top2,clean_text,0.0,5
hybrid_needle_top2,doctor_names,0.4,20
hybrid_needle_top2,spoken_disfluencies,0.20454545454545456,44
hybrid_needle_top2,typos,0.0,15
hybrid_adaptive,clean_text,0.0,5
hybrid_adaptive,doctor_names,0.45,20
hybrid_adaptive,spoken_disfluencies,0.1590909090909091,44
hybrid_adaptive,typos,0.0,15
embedding_only,asr_clean,0.8461538461538461,13
embedding_only,clean_text,0.9726027397260274,146
embedding_only,doctor_names,0.5951417004048583,494
embedding_only,hard_contrast,1.0,12
embedding_only,missing_arguments,1.0,7
embedding_only,no_tool,0.2,5
embedding_only,safety,0.875,8
embedding_only,spoken_disfluencies,0.7284701114488349,987
embedding_only,typos,0.5504807692307693,416
embedding_only,asr_clean,0.8461538461538461,13
embedding_only,clean_text,0.9726027397260274,146
embedding_only,doctor_names,0.5951417004048583,494
embedding_only,hard_contrast,1.0,12
embedding_only,missing_arguments,1.0,7
embedding_only,no_tool,0.2,5
embedding_only,safety,0.875,8
embedding_only,spoken_disfluencies,0.7284701114488349,987
embedding_only,typos,0.5504807692307693,416
embedding_only,asr_clean,0.8461538461538461,13
embedding_only,clean_text,0.9726027397260274,146
embedding_only,doctor_names,0.5951417004048583,494
embedding_only,hard_contrast,1.0,12
embedding_only,missing_arguments,1.0,7
embedding_only,no_tool,0.2,5
embedding_only,safety,0.875,8
embedding_only,spoken_disfluencies,0.7284701114488349,987
embedding_only,typos,0.5504807692307693,416
embedding_only,asr_clean,0.8461538461538461,13
embedding_only,clean_text,0.9726027397260274,146
embedding_only,doctor_names,0.5951417004048583,494
embedding_only,hard_contrast,1.0,12
embedding_only,missing_arguments,1.0,7
embedding_only,no_tool,0.2,5
embedding_only,safety,0.875,8
embedding_only,spoken_disfluencies,0.7284701114488349,987
embedding_only,typos,0.5504807692307693,416
functiongemma_zero_shot,clean_text,0.0,5
functiongemma_zero_shot,doctor_names,0.0,20
functiongemma_zero_shot,spoken_disfluencies,0.0,44
functiongemma_zero_shot,typos,0.0,15
hybrid_functiongemma_top2,clean_text,0.0,5
hybrid_functiongemma_top2,doctor_names,0.45,20
hybrid_functiongemma_top2,spoken_disfluencies,0.1590909090909091,44
hybrid_functiongemma_top2,typos,0.0,15
embedding_only,asr_clean,0.8461538461538461,13
embedding_only,clean_text,0.9726027397260274,146
embedding_only,doctor_names,0.5951417004048583,494
embedding_only,hard_contrast,1.0,12
embedding_only,missing_arguments,1.0,7
embedding_only,no_tool,0.2,5
embedding_only,safety,0.875,8
embedding_only,spoken_disfluencies,0.7284701114488349,987
embedding_only,typos,0.5504807692307693,416
embedding_only,asr_clean,0.8461538461538461,13
embedding_only,clean_text,0.9726027397260274,146
embedding_only,doctor_names,0.5951417004048583,494
embedding_only,hard_contrast,1.0,12
embedding_only,missing_arguments,1.0,7
embedding_only,no_tool,0.2,5
embedding_only,safety,0.875,8
embedding_only,spoken_disfluencies,0.7284701114488349,987
embedding_only,typos,0.5504807692307693,416
embedding_only,asr_clean,0.8461538461538461,13
embedding_only,clean_text,0.9726027397260274,146
embedding_only,doctor_names,0.5951417004048583,494
embedding_only,hard_contrast,1.0,12
embedding_only,missing_arguments,1.0,7
embedding_only,no_tool,0.2,5
embedding_only,safety,0.875,8
embedding_only,spoken_disfluencies,0.7284701114488349,987
embedding_only,typos,0.5504807692307693,416
